"";"ST131_sum";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131";1;0,01;0,1;"5e-04";"0.0053 (0.0032)";"0.0053 (0.0032)";"0.0053 (0.0032)";"0.0053 (0.0032)"
"2";"131";25;0,01;0,1;"5e-04";"0.013 (0.009)";"0.0149 (0.0109)";"0.0172 (0.015)";"0.0209 (0.0192)"
"3";"131";50;0,01;0,1;"5e-04";"0.0205 (0.0152)";"0.0269 (0.0233)";"0.0398 (0.0436)";"0.0571 (0.0645)"
"4";"131";75;0,01;0,1;"5e-04";"0.0267 (0.0205)";"0.0392 (0.0369)";"0.0603 (0.0709)";"0.0798 (0.0937)"
"5";"131";100;0,01;0,1;"5e-04";"0.0306 (0.0231)";"0.0479 (0.047)";"0.0713 (0.0849)";"0.0874 (0.1037)"
"6";"131";125;0,01;0,1;"5e-04";"0.0344 (0.0262)";"0.054 (0.0536)";"0.0763 (0.0905)";"0.0895 (0.1054)"
"7";"131";150;0,01;0,1;"5e-04";"0.0373 (0.0285)";"0.0571 (0.0569)";"0.0794 (0.0936)";"0.0909 (0.1067)"
"8";"131";175;0,01;0,1;"5e-04";"0.0387 (0.0291)";"0.0592 (0.0591)";"0.0801 (0.0933)";"0.0927 (0.1081)"
"9";"131";200;0,01;0,1;"5e-04";"0.0401 (0.0302)";"0.0603 (0.0601)";"0.0812 (0.093)";"0.094 (0.1091)"
"10";"69";1;0,01;0,1;"5e-04";"0.0126 (0)";"0.0126 (0)";"0.0126 (0)";"0.0126 (0)"
"11";"69";25;0,01;0,1;"5e-04";"0.0314 (0.0031)";"0.0315 (0.0029)";"0.0298 (0.0028)";"0.0298 (0.0029)"
"12";"69";50;0,01;0,1;"5e-04";"0.0472 (0.0046)";"0.0452 (0.0049)";"0.0396 (0.0041)";"0.0335 (0.0043)"
"13";"69";75;0,01;0,1;"5e-04";"0.0578 (0.0061)";"0.0549 (0.0048)";"0.0432 (0.0061)";"0.0325 (0.0058)"
"14";"69";100;0,01;0,1;"5e-04";"0.0664 (0.007)";"0.0613 (0.0063)";"0.0464 (0.0056)";"0.033 (0.0055)"
"15";"69";125;0,01;0,1;"5e-04";"0.0726 (0.0069)";"0.0657 (0.0064)";"0.0492 (0.0063)";"0.0347 (0.0058)"
"16";"69";150;0,01;0,1;"5e-04";"0.0797 (0.0076)";"0.0689 (0.0068)";"0.051 (0.0065)";"0.0357 (0.0064)"
"17";"69";175;0,01;0,1;"5e-04";"0.0846 (0.0081)";"0.0716 (0.0065)";"0.0533 (0.0058)";"0.0352 (0.0065)"
"18";"69";200;0,01;0,1;"5e-04";"0.0888 (0.0082)";"0.0741 (0.0074)";"0.0542 (0.0047)";"0.0354 (0.0062)"
"19";"73";1;0,01;0,1;"5e-04";"0.2622 (0)";"0.2622 (0)";"0.2622 (0)";"0.2622 (0)"
"20";"73";25;0,01;0,1;"5e-04";"0.2486 (0.0073)";"0.2435 (0.0101)";"0.236 (0.0085)";"0.2295 (0.0097)"
"21";"73";50;0,01;0,1;"5e-04";"0.2358 (0.0098)";"0.2216 (0.0118)";"0.1934 (0.0102)";"0.1542 (0.0093)"
"22";"73";75;0,01;0,1;"5e-04";"0.2223 (0.0112)";"0.1998 (0.0115)";"0.1585 (0.0123)";"0.1102 (0.0089)"
"23";"73";100;0,01;0,1;"5e-04";"0.2163 (0.0113)";"0.1857 (0.0091)";"0.1373 (0.0107)";"0.0959 (0.008)"
"24";"73";125;0,01;0,1;"5e-04";"0.2096 (0.0097)";"0.1743 (0.0095)";"0.1286 (0.0117)";"0.09 (0.0108)"
"25";"73";150;0,01;0,1;"5e-04";"0.2036 (0.0114)";"0.1678 (0.0079)";"0.1234 (0.013)";"0.0868 (0.0092)"
"26";"73";175;0,01;0,1;"5e-04";"0.2019 (0.0106)";"0.1664 (0.0097)";"0.1207 (0.0119)";"0.0871 (0.0107)"
"27";"73";200;0,01;0,1;"5e-04";"0.1982 (0.0079)";"0.1651 (0.0098)";"0.1202 (0.0136)";"0.0853 (0.0114)"
"28";"95";1;0,01;0,1;"5e-04";"0.1124 (0)";"0.1124 (0)";"0.1124 (0)";"0.1124 (0)"
"29";"95";25;0,01;0,1;"5e-04";"0.1065 (0.0066)";"0.1063 (0.0054)";"0.1031 (0.0057)";"0.0984 (0.0071)"
"30";"95";50;0,01;0,1;"5e-04";"0.0985 (0.0083)";"0.0968 (0.0063)";"0.0845 (0.0069)";"0.0667 (0.0066)"
"31";"95";75;0,01;0,1;"5e-04";"0.0942 (0.007)";"0.0887 (0.0067)";"0.0686 (0.0069)";"0.0467 (0.0084)"
"32";"95";100;0,01;0,1;"5e-04";"0.0909 (0.0096)";"0.0811 (0.0065)";"0.0605 (0.0088)";"0.0385 (0.0082)"
"33";"95";125;0,01;0,1;"5e-04";"0.0884 (0.0099)";"0.0769 (0.0057)";"0.0565 (0.007)";"0.0382 (0.0098)"
"34";"95";150;0,01;0,1;"5e-04";"0.0877 (0.0095)";"0.0752 (0.0084)";"0.0551 (0.0088)";"0.0366 (0.0084)"
"35";"95";175;0,01;0,1;"5e-04";"0.0865 (0.0091)";"0.0725 (0.0072)";"0.0544 (0.0097)";"0.0365 (0.0098)"
"36";"95";200;0,01;0,1;"5e-04";"0.085 (0.0097)";"0.0713 (0.0065)";"0.0526 (0.0096)";"0.0364 (0.0085)"
